device_number port shortname
2 7790 written
21 7809 mws-priv-14
74 7862 mws-priv-76
88 7876 mws-priv-89
96 7884 mws-priv-97
103 7891 mws-priv-15
111 7899 mws-priv-38
116 7904 mws-priv-35
117 7905 mws-priv-43
119 7907 mws-priv-45
120 7908 mws-priv-46
121 7909 mws-priv-47
122 7910 mws-priv-48
123 7911 mws-priv-49
128 7916 mws-priv-53
130 7918 mws-priv-55
132 7920 mws-priv-57
133 7921 mws-priv-58
137 7925 mws-priv-62
138 7926 mws-priv-63
139 7927 mws-priv-64
140 7928 mws-priv-65
141 7929 mws-priv-66
142 7930 mws-priv-67
143 7931 mws-priv-9
145 7933 mws-priv-69
147 7935 mws-priv-1
148 7936 mws-priv-70
149 7937 mws-priv-71
150 7938 mws-priv-72
151 7939 mws-priv-73
153 7941 mws-priv-8
154 7942 mws-priv-10
156 7944 mws-priv-32
159 7947 mws-priv-78
161 7949 mws-priv-80
162 7950 mws-priv-81
164 7952 mws-priv-83
165 7953 mws-priv-84
166 7954 mws-priv-85
167 7955 mws-priv-86
169 7957 mws-priv-90
170 7958 mws-priv-93
171 7959 mws-priv-12
172 7960 mws-priv-13
173 7961 mws-priv-18
174 7962 mws-priv-77
175 7963 mws-priv-94
176 7964 mws-priv-51
179 7967 mws-priv-50
180 7968 mws-priv-95
185 7973 mws-priv-103
186 7974 mws-priv-104
187 7975 mws-priv-105
189 7977 mws-priv-107
190 7978 mws-priv-108
191 7979 mws-priv-109
192 7980 mws-priv-110
193 7981 mws-priv-111
194 7982 mws-priv-68
196 7984 mws-priv-113
197 7985 mws-priv-114
198 7986 mws-priv-115
199 7987 mws-priv-116
200 7988 mws-priv-117
201 7989 mws-priv-118
202 7990 mws-priv-119
203 7991 mws-priv-74
206 7994 mws-priv-75
207 7995 mws-priv-122
209 7997 mws-priv-124
211 7999 mws-priv-126
212 8000 mws-priv-82
213 8001 mws-priv-127
214 8002 mws-priv-79
215 8003 mws-priv-128
216 8004 mws-priv-129
217 8005 mws-priv-130
218 8006 mws-priv-131
219 8007 mws-priv-132
221 8009 mws-priv-134
223 8011 mws-priv-136
224 8012 mws-priv-137
225 8013 mws-priv-138
227 8015 mws-priv-139
228 8016 mws-priv-140
229 8017 mws-priv-141
230 8018 mws-priv-142
231 8019 mws-priv-143
235 8023 mws-priv-96
236 8024 mws-priv-146
237 8025 mws-priv-147
238 8026 mws-priv-148
240 8028 mws-priv-100
241 8029 mws-priv-150
242 8030 mws-priv-151
243 8031 mws-priv-41
246 8034 mws-priv-121
247 8035 mws-priv-133
248 8036 mws-priv-153
249 8037 mws-priv-154
252 8040 mws-priv-156
256 8044 mws-priv-39
257 8045 mws-priv-102
258 8046 mws-priv-144
261 8049 mws-priv-161
262 8050 mws-priv-149
263 8051 mws-priv-162
264 8052 mws-priv-163
265 8053 mws-priv-164
266 8054 mws-priv-165
269 8057 mws-priv-34
271 8059 mws-priv-168
273 8061 mws-priv-135
282 8070 mws-priv-160
283 8071 mws-priv-171
284 8072 mws-priv-123
286 8074 mws-priv-155
288 8076 mws-priv-158
289 8077 mws-priv-159
295 8083 mws-priv-174
296 8084 mws-priv-175
298 8086 mws-priv-177
302 8090 mws-priv-181
303 8091 mws-priv-182
305 8093 mws-priv-11
306 8094 mws-priv-157
308 8096 mws-priv-17
309 8097 mws-priv-176
313 8101 mws-priv-183
314 8102 mws-priv-184
315 8103 mws-priv-185
316 8104 mws-priv-145
318 8106 mws-priv-186
319 8107 mws-priv-187
322 8110 mws-priv-188
326 8114 mws-priv-87
327 8115 mws-priv-166
328 8116 mws-priv-3
329 8117 mws-priv-120
330 8118 mws-priv-179
331 8119 mws-priv-178
332 8120 mws-priv-180
335 8123 mws-priv-189
336 8124 mws-priv-190
339 8127 mws-priv-101
342 8130 mws-priv-194
345 8133 mws-priv-197
347 8135 mws-priv-198
350 8138 mws-priv-200
351 8139 mws-priv-201
353 8141 mws-priv-42
354 8142 mws-priv-199
355 8143 mws-priv-202
357 8145 mws-priv-91
358 8146 mws-priv-169
359 8147 mws-priv-170
360 8148 mws-priv-36
362 8150 mws-priv-31
374 8162 mws-priv-205
378 8166 mws-priv-167
380 8168 mws-priv-61
381 8169 mws-priv-59
382 8170 mws-priv-4
383 8171 mws-priv-37
384 8172 mws-priv-60
385 8173 mws-priv-33
386 8174 mws-priv-16
387 8175 mws-priv-2
388 8176 mws-priv-172
389 8177 mws-priv-88
390 8178 mws-priv-19
391 8179 mws-priv-56
392 8180 mws-priv-52
393 8181 mws-priv-44
394 8182 mws-priv-98
395 8183 mws-priv-40
396 8184 mws-priv-54
397 8185 mws-priv-99
412 8200 mws-priv-6
416 8204 mws-priv-173
417 8205 mws-priv-106
418 8206 mws-priv-20
419 8207 mws-priv-7
420 8208 mws-priv-196
421 8209 mws-priv-203
423 8211 mws-priv-206
424 8212 mws-priv-125
425 8213 mws-priv-195
426 8214 mws-priv-112
427 8215 mws-priv-207
429 8217 mws-priv-92
430 8218 mws-priv-191
432 8220 mws-priv-152
433 8221 mws-priv-193
434 8222 mws-priv-5
435 8223 mws-priv-204
436 8224 mws-priv-208
437 8225 mws-priv-209
438 8226 mws-priv-210
439 8227 mws-priv-211
440 8228 mws-priv-212
441 8229 mws-priv-213
